03N,2400,50,GRVL,,7,25
07FA,4500,70,ASPH,1,4,22
18AZ,4037,50,ASPH,1,6,24
1AZ0,4500,75,ASPH,1,9,27
20GA,4500,50,ASPH,1,10,28
2XS8,3300,80,ASPH,,15,33
5A8,2040,80,GRVL-DIRT-F,,15,33
7FL4,2600,72,TURF,,18,36
AGAT,2769,,UNK,,13,31
AGGA,3100,,UNK,,18,36
AGGE,5413,,UNK,,5,23
AGGH,7218,148,ASP,1,6,24
AGGK,4377,,UNK,,10,28
AGGL,2999,,UNK,,5,23
AGGM,4593,98,ASP,0,7,25
AGGN,3609,,UNK,,14,32
AGGO,3281,,UNK,,4,22
AGGS,3002,,UNK,,10,28
AGGV,2789,,UNK,,4,22
ANYN,7054,148,ASP,1,12,30
AYBK,5125,98,ASP,1,4,22
AYCH,3330,89,ASP,1,3,21
AYDU,4593,98,ASP,0,14,32
AYGA,3983,59,ASP,0,17L,35R
AYGA,5400,98,ASP,1,17R,35L
AYGN,5546,98,ASP,1,9,27
AYGR,5485,98,ASP,0,3,21
AYHK,5212,98,ASP,1,12,30
AYKI,3691,,UNK,,7,25
AYKM,3044,60,ASP,0,14,32
AYKV,5592,98,ASP,1,12,30
AYMD,5174,105,ASP,1,7,25
AYMH,3599,59,ASP,0,8,26
AYMH,7185,98,ASP,1,12,30
AYMN,4411,98,ASP,0,17,35
AYMO,6136,148,ASP,1,16,34
AYMR,5774,,UNK,,9,27
AYMS,3937,,UNK,,8,26
AYNZ,8004,98,ASP,1,9,27
AYPY,9022,148,ASP,1,14L,32R
AYPY,6777,148,ASP,1,14R,32L
AYTA,5197,,UNK,,14,32
AYTB,4232,,UNK,,14,32
AYTK,5643,92,ASP,1,10,28
AYVN,5775,85,ASP,1,12,30
AYWD,5052,75,ASP,0,14,32
AYWK,5234,98,ASP,1,10,28
BGBW,6004,148,CON,1,7,25
BGCO,3281,98,GVL,1,18,36
BGGH,3117,98,ASP,1,5,23
BGJN,2772,,UNK,,8,26
BGMQ,2621,,UNK,,16,34
BGNS,197,66,ASP,,4,22
BGNS,197,66,ASP,,10,28
BGSF,9219,197,ASP,1,10,28
BGSS,2621,,UNK,,14,32
BGTL,9997,140,ASPH,,8,26
BGTL,9997,140,ASP,1,08T,26T
BGUK,2621,,UNK,,6,24
BGUQ,2953,,UNK,,16,34
BIAR,6365,148,ASP,1,1,19
BIBD,3084,98,BIT,1,5,23
BIEG,6562,148,ASP,1,4,22
BIGJ,3041,,UNK,,5,23
BIGR,3379,,UNK,,18,36
BIHN,4921,148,BIT,1,18,36
BIHU,5266,157,BIT,1,3,21
BIIS,4593,148,BIT,1,8,26
BIKF,10019,197,ASP,1,2,20
BIKF,10056,197,ASP,1,11,29
BIKR,6191,,UNK,,1,19
BIPA,4593,148,BIT,1,14,32
BIRK,5141,148,ASP,1,1,19
BIRK,3150,98,ASP,1,6,24
BIRK,4035,148,ASP,1,13,31
BISF,3271,,UNK,,5,23
BISF,3478,,UNK,,15,33
BISI,3556,105,BIT,0,7,25
BITN,3934,98,BIT,1,2,20
BIVM,3806,148,BIT,1,4,22
BIVM,3953,148,BIT,1,13,31
BIVO,3061,,UNK,,5,23
CAD4,4000,75,ASP,0,16,34
CAJ4,2738,100,GVL,0,6,24
CAJ4,3930,75,ASP,0,13,31
CAV3,1900,46,ASPHALT,,8,26
CCA6,2200,75,GRAVEL,,14,32
CCD4,2500,75,GRAVEL,,6,24
CCE4,2500,75,GRAVEL,,16,34
CCK4,2200,75,GRAVEL,,5,23
CCP4,2500,75,GRAVEL,,12,30
CCW3,3500,75,ASP,1,10,28
CCZ2,2500,75,GRAVEL,,12,30
CJV7,3500,100,GRVL,,17,35
CKB6,3600,100,GRVL,,12,30
CKD9,3500,100,GRVL,,10,28
CKL3,3500,100,GRVL,,16,34
CKQ3,3500,100,GRVL,,13,31
CNC3,2500,75,COP,1,8,26
CNC3,3500,75,COP,1,15,33
CNE3,3500,100,GRVL,,7,25
CNM5,3520,100,GRVL/CLAY,,12,30
CNT3,3500,100,GRVL,,9,27
CNY3,2450,75,GRS,0,1,19
CNY3,5000,100,ASP,1,13,31
CPV7,3500,100,CLAY/GRVL,,13,31
CPV8,3500,100,GRVL,,13,31
CSU2,3792,100,GRAVEL,,14,32
CTB6,1640,85,GRAVEL,,18,36
CTK6,1640,85,GRAVEL,,10,28
CTT5,3938,100,ASP,1,12,30
CYAC,3900,100,GRVL,,11,29
CYAG,2600,75,ASP,1,3,21
CYAG,4500,100,ASP,1,12,30
CYAM,6000,200,ASP,1,4,22
CYAM,6000,200,ASP,1,12,30
CYAQ,3500,100,GRVL,,3,21
CYAS,3521,,UNK,,4,22
CYAT,3500,100,GRVL,,6,24
CYAV,2850,75,ASP,1,4,22
CYAV,3000,75,ASP,1,13,31
CYAV,3000,75,ASP,1,18,36
CYAW,5692,200,ASP,1,10,28
CYAW,8998,200,ASP,0,16,34
CYAW,3500,112,Asphalt,1,16H,34H
CYAX,3600,75,ASP,1,18,36
CYAY,4000,100,ASP,1,10,28
CYAZ,4999,150,CON,,7,25
CYAZ,4997,100,CON,,11,29
CYAZ,5000,100,CON,,16,34
CYBB,5000,100,GVL,1,05T,23T
CYBC,6000,150,ASP,1,10,28
CYBD,4200,100,ASP,0,5,23
CYBE,,,UNK,,5,23
CYBE,3930,100,GVL,1,6,24
CYBF,4433,75,ASP,1,7,25
CYBG,10000,150,CON,1,11,29
CYBG,6000,150,ASP,1,18,36
CYBK,4200,100,GVL,1,16T,34T
CYBL,5000,150,ASP,1,11,29
CYBQ,3200,100,CRUSHED ROCK,,6,24
CYBQ,,,UNK,,7,25
CYBR,2795,100,ASP,0,2,20
CYBR,6500,150,ASP,1,8,26
CYBR,3000,60,GVL,0,14,32
CYBT,3500,90,CRUSHED ROCK,,3,21
CYBV,2900,75,CRUSHED ROCK,,8,26
CYBW,3423,100,ASP,1,8,26
CYBW,5000,98,ASP,1,17,35
CYBX,4500,150,ASP,1,5,23
CYCA,2500,75,GRAVEL,,9,27
CYCB,5000,150,GVL,1,13T,31T
CYCC,3500,100,ASP,1,10,28
CYCD,6602,150,ASP,1,16,34
CYCG,5300,150,ASP,1,15,33
CYCH,5200,150,ASP,0,4,22
CYCH,5889,150,ASP,1,9,27
CYCH,7500,150,ASP,0,10,28
CYCH,5513,150,ASP,0,15,33
CYCL,6000,150,ASP,1,12,30
CYCO,5500,100,GVL,1,12T,30T
CYCR,3990,95,CRUSHED ROCK,,5,23
CYCS,3600,,UNK,,12T,30T
CYCT,3000,75,ASP,1,11,29
CYCW,3990,75,ASP,1,7,25
CYCY,3500,100,GVL,1,02T,20T
CYCZ,6003,100,ASP,1,15,33
CYDA,5000,100,GVL,1,2,20
CYDB,5000,100,GVL,1,10,28
CYDC,3932,75,ASP,,4,22
CYDF,8005,150,ASP,1,7,25
CYDL,6000,90,ASP,1,2,20
CYDN,2000,60,GVL,0,2,20
CYDN,2700,75,ASP,1,8,26
CYDN,5000,150,ASP,1,14,32
CYDP,2000,75,GRAVEL,,6,24
CYDQ,5000,150,ASP,1,6,24
CYEG,11000,200,ASP,1,2,20
CYEG,10200,200,ASP,1,12,30
CYEK,4000,100,GVL,1,15T,33T
CYEM,3500,100,ASP,1,2,20
CYEN,5000,100,ASP,1,8,26
CYEN,3000,75,ASP,1,15,33
CYER,3500,100,GRVL,,15,33
CYET,6000,100,ASP,1,7,25
CYEU,4836,150,GVL,1,10T,28T
CYEV,6000,150,ASP,1,6,24
CYFA,3500,100,GRVL,,10,28
CYFB,8605,200,ASP,1,17,35
CYFC,8005,200,ASP,1,9,27
CYFC,6000,200,ASP,1,15,33
CYFD,5000,100,ASP,1,5,23
CYFD,2600,100,ASP,1,11,29
CYFD,2600,100,ASP,1,17,35
CYFE,5000,100,ASP,1,9,27
CYFH,3500,100,GRVL,,9,27
CYFJ,5587,100,ASP,1,3,21
CYFO,5000,150,ASP,1,18,36
CYFR,4000,100,GVL,1,12,30
CYFS,6000,150,ASP,1,14,32
CYFT,2500,75,GRAVEL,,10,28
CYGB,3000,75,ASP,0,14,32
CYGE,4500,75,ASP,0,14,32
CYGH,3000,98,GVL,1,6,24
CYGK,5000,100,ASP,1,1,19
CYGK,3933,100,ASP,1,7,25
CYGL,6500,150,ASP,1,13,31
CYGO,3420,100,CRUSHED ROCK,,14,32
CYGP,4500,150,ASP,1,11,29
CYGQ,5000,100,ASP,1,8,26
CYGR,4500,150,ASP,1,7,25
CYGR,3600,150,ASP,1,16,34
CYGT,3800,,UNK,,15T,33T
CYGV,4500,100,ASP,1,9,27
CYGW,5052,150,SAND/GRAVEL,,4,22
CYGX,5000,150,GRAVEL,,5,23
CYHA,3520,,UNK,,1,19
CYHB,5000,100,ASP,1,5,23
CYHB,2000,75,ASP,1,10,28
CYHD,2000,75,SAN,0,5,23
CYHD,6000,150,ASP,1,11,29
CYHF,4500,100,ASP,1,4,22
CYHH,5000,150,GRAVEL,,9,27
CYHI,4300,100,GVL,1,06T,24T
CYHK,4400,100,GVL,1,13T,31T
CYHM,6000,150,ASP,1,6,24
CYHM,10000,200,ASP,1,12,30
CYHN,3500,75,ASP,1,7,25
CYHO,2500,75,GRAVEL,,7,25
CYHR,4500,150,ASP,1,8,26
CYHU,7840,150,ASP,1,06L,24R
CYHU,3920,100,ASP,1,06R,24L
CYHU,2800,150,ASP,1,10,28
CYHY,4001,150,COM,1,5,23
CYHY,6000,150,ASP,1,14,32
CYHZ,105000,200,ASP,1,5,23
CYHZ,7700,200,ASP,1,14,32
CYIB,3500,100,ASP,1,4,22
CYIF,4590,100,ASP,1,2,20
CYIK,3521,100,GVL,1,8,26
CYIO,4000,100,GVL,1,02T,20T
CYIV,4000,100,CRUSHED ROCK,,12,30
CYJM,4000,75,ASP,0,10,28
CYJN,2474,100,ASP,0,2,20
CYJN,2765,100,ASP,0,6,24
CYJN,4000,100,ASP,1,11,29
CYJQ,2954,100,ASP,,10,28
CYJT,3900,150,PEM,0,2,20
CYJT,10000,200,ASP,1,9,27
CYKA,2074,50,ASP,0,4,22
CYKA,6000,148,ASP,1,8,26
CYKD,3000,75,GRVL,,12,30
CYKD,3000,75,GVL,1,13,31
CYKF,7002,150,ASP,1,8,26
CYKF,4100,148,ASP,1,14,32
CYKG,3511,100,GRAVEL,,15,33
CYKL,5000,150,ASP,1,18,36
CYKO,3510,100,GVL,1,8,26
CYKQ,3500,100,GRAVEL,,6,24
CYKX,4500,100,ASP,1,8,26
CYKY,3507,75,ASP,1,7,25
CYKY,2281,100,GRS,0,17,35
CYKZ,2694,80,ASP,1,3,21
CYKZ,3897,100,ASP,1,15,33
CYLA,,,UNK,,4,22
CYLA,3521,100,GRAVEL,,5,23
CYLD,3000,75,ASP,1,5,23
CYLD,5000,100,ASP,1,10,28
CYLH,3500,100,GRVL,,8,26
CYLJ,5000,100,ASP,1,9,27
CYLJ,2290,75,ASP,1,17,35
CYLK,2996,,UNK,,08T,26T
CYLL,5577,150,ASP,1,8,26
CYLL,1500,100,GRS,0,11,29
CYLT,5500,150,GVL,1,05T,23T
CYLU,3521,100,GRAVEL,,16,34
CYLW,8900,200,ASP,1,16,34
CYMA,4856,100,GVL,1,6,24
CYMG,3600,100,ASP,1,5,23
CYMH,2500,75,GRAVEL,,11,29
CYMJ,3400,100,ASP,1,3,21
CYMJ,8326,150,ASP,1,11L,29R
CYMJ,7280,150,ASP,1,11R,29L
CYMM,7503,150,ASP,1,7,25
CYMO,4000,100,ASP,1,6,24
CYMO,3500,100,COM,1,14,32
CYMT,6496,150,ASP,1,5,23
CYMU,3500,100,GRAVEL,,3,21
CYMW,4920,150,ASP,1,3,21
CYMX,12000,200,CON,1,6,24
CYMX,8852,200,CON,,11,29
CYNA,4494,100,ASP,1,14,32
CYNC,3510,100,GRAVEL,,10,28
CYND,6000,150,ASP,1,9,27
CYNE,3922,100,CRUSHED ROCK,,5,23
CYNJ,2100,75,ASPHALT,1,1,19
CYNJ,2743,75,Asphalt,,7,25
CYNL,6000,100,GRAVEL,,15,33
CYNM,5000,100,ASP,1,15,33
CYOA,6411,148,GVL,1,02T,20T
CYOC,4900,100,GVL,1,3,21
CYOD,8270,200,ASP,1,4,22
CYOD,12600,200,ASP,1,13L,31R
CYOD,10000,150,ASP,1,13R,31L
CYOH,3270,75,CRUSHED ROCK,,4,22
CYOH,,,UNK,,5,23
CYOJ,5000,150,ASP,1,13,31
CYOO,2654,100,ASP,1,5,23
CYOO,4000,100,ASP,1,12,30
CYOP,4539,100,ASP,1,9,27
CYOW,3300,75,ASP,0,4,22
CYOW,8000,200,ASP,1,7,25
CYOW,10000,200,ASP,1,14,32
CYPA,5000,150,ASP,1,8,26
CYPA,2500,100,GRS,0,16,34
CYPC,4000,100,GVL,1,02T,20T
CYPE,5000,150,ASP,1,4,22
CYPE,1900,150,GRS,0,8,26
CYPG,3045,150,ASP,1,1,19
CYPG,2520,150,ASP,0,8,26
CYPG,3130,150,ASP,0,13L,31R
CYPG,7000,200,ASP,1,13R,31L
CYPH,3500,100,GRAVEL,,7,25
CYPK,2500,75,ASP,0,08L,26R
CYPK,4700,100,ASP,1,08R,26L
CYPK,2500,75,ASP,1,18,36
CYPL,4921,100,ASP,1,9,27
CYPM,3500,100,GRVL,,9,27
CYPN,4886,150,ASP,1,11,29
CYPQ,7000,100,ASP,1,9,27
CYPQ,1782,100,GRS,,14,32
CYPR,6000,200,ASP,1,13,31
CYPW,3627,150,ASP,1,9,27
CYPX,5013,100,GVL,1,1,19
CYPY,5000,150,ASP,1,3,21
CYQA,2180,100,GRS,0,9,27
CYQA,6000,150,ASP,1,18,36
CYQB,9000,150,ASP,1,6,24
CYQB,5700,150,ASP,1,12,30
CYQD,5901,150,ASP,1,13,31
CYQF,3449,100,ASP,1,11,29
CYQF,5528,98,ASP,1,16,34
CYQG,9000,200,ASP,1,7,25
CYQG,5150,150,ASP,1,12,30
CYQH,5500,150,ASP,1,8,26
CYQI,6000,150,ASP,1,6,24
CYQI,5000,150,ASP,1,15,33
CYQK,5800,150,ASP,1,8,26
CYQL,6500,200,ASP,1,5,23
CYQL,5500,150,ASP,1,12,30
CYQM,6150,200,ASP,1,6,24
CYQM,8000,200,ASP,1,11,29
CYQN,3200,300,GRS,0,6,24
CYQN,3500,100,ASP,1,9,27
CYQN,3200,300,GVL,0,16,34
CYQQ,10000,200,PEM,1,12,30
CYQQ,5000,200,ASP,1,18,36
CYQR,6200,150,ASP,1,8,26
CYQR,7900,150,ASP,1,13,31
CYQT,7318,200,ASP,1,7,25
CYQT,5300,200,ASP,1,12,30
CYQU,6200,200,ASP,1,7,25
CYQU,6500,200,ASP,1,12,30
CYQV,4800,150,ASP,1,3,21
CYQV,3000,100,COM,1,12,30
CYQW,2565,50,ASP,0,6,24
CYQW,5000,150,ASP,1,12,30
CYQX,10200,200,ASP,1,3,21
CYQX,1875,50,ASP,0,9,27
CYQX,8900,200,ASP,1,13,31
CYQY,6000,150,ASP,1,1,19
CYQY,7070,200,ASP,1,7,25
CYQZ,5500,200,ASP,1,13,31
CYRB,6500,200,GVL,1,17T,35T
CYRI,6000,150,ASP,1,5,23
CYRJ,5000,150,ASP,1,16,34
CYRL,5000,150,ASP,1,8,26
CYRM,5500,100,ASP,1,13,31
CYRS,3000,85,CRUSHED ROCK,,8,26
CYRT,6000,150,ASP,1,13T,31T
CYRV,4800,75,ASP,0,12,30
CYSB,6600,200,ASP,1,4,22
CYSB,5000,150,ASP,1,12,30
CYSC,6000,150,ASP,1,13,31
CYSC,6000,150,ASPH,,14,32
CYSF,5050,100,TREATED GRAVEL,,6,24
CYSJ,7000,200,ASP,1,5,23
CYSJ,5100,200,ASP,1,14,32
CYSK,3800,,UNK,,9,27
CYSM,1800,100,COM,1,2,20
CYSM,6000,200,ASP,1,11,29
CYSP,3933,100,ASP,1,16,34
CYSR,6400,150,GVL,1,11T,29T
CYST,3400,75,CRUSHED ROCK,,4,22
CYSU,8000,200,ASP,1,6,24
CYSU,5300,150,ASP,0,12,30
CYSU,5460,150,ASP,0,18,36
CYSY,4000,100,GVL,1,08T,26T
CYTA,5000,100,ASP,1,17,35
CYTE,4000,100,GVL,1,13T,31T
CYTF,4300,100,ASP,1,13,31
CYTH,5800,150,ASP,1,5,23
CYTH,2500,100,GVL,1,14,32
CYTL,3900,100,GRVL,,14,32
CYTQ,3519,100,GRAVEL,,6,24
CYTR,10000,200,ASP,1,6,24
CYTR,3025,150,ASP,1,13,31
CYTS,6000,150,ASP,1,3,21
CYTS,4903,150,ASP,1,10,28
CYTZ,2933,150,ASP,,6,24
CYTZ,3988,150,ASP,1,8,26
CYTZ,2780,150,ASP,,15,33
CYUB,5000,150,GVL,1,9,27
CYUL,11000,200,ASP,1,06L,24R
CYUL,9600,200,ASP,1,06R,24L
CYUL,7000,200,ASP,1,10,28
CYUT,3400,100,GVL,1,16T,34T
CYUX,5420,150,GVL,1,12T,30T
CYUY,7485,150,ASP,1,8,26
CYVB,5985,150,ASP,1,13,31
CYVC,2350,50,GVL,0,10,28
CYVC,5000,150,ASP,1,18,36
CYVG,3300,75,ASP,1,10,28
CYVM,3800,100,GVL,1,03T,21T
CYVO,10000,150,ASP,1,18,36
CYVP,6000,150,ASP,1,7,25
